Var1,URL,SRC,R,G,B,USAGE,GitHub
106,https://live.staticflickr.com/4872/45147545605_4ec4e18e28_t.jpg,./NaturePhotos/106.jpg,56.2796,62.4352,55.6376,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/106.jpg
108,https://live.staticflickr.com/868/41191073131_eab71791cb_t.jpg,./NaturePhotos/108.jpg,125.7332,122.1056,130.2304,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/108.jpg
109,https://live.staticflickr.com/65535/50932618876_456c2db531_t.jpg,./NaturePhotos/109.jpg,143.2104,187.2952,164.2844,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/109.jpg
110,https://live.staticflickr.com/904/42143676912_477d077bca_t.jpg,./NaturePhotos/110.jpg,147.016,124.0096,157.9148,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/110.jpg
111,https://live.staticflickr.com/65535/50795868906_de54a990cb_t.jpg,./NaturePhotos/111.jpg,149.3256,72.7772,119.8312,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/111.jpg
112,https://live.staticflickr.com/3666/19063695306_043867092a_t.jpg,./NaturePhotos/112.jpg,89.9156,87.678,98.5648,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/112.jpg
113,https://live.staticflickr.com/4877/45072949385_d890339cd3_t.jpg,./NaturePhotos/113.jpg,106.1744,96.682,102.6752,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/113.jpg
114,https://live.staticflickr.com/7836/47375185042_834f7790e1_t.jpg,./NaturePhotos/114.jpg,122.1836,113.5904,120.0196,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/114.jpg
115,https://live.staticflickr.com/3778/9767725115_da6defdd2d_t.jpg,./NaturePhotos/115.jpg,133.408,122.2196,135.618,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/115.jpg
116,https://live.staticflickr.com/65535/50158393923_f378305e7f_t.jpg,./NaturePhotos/116.jpg,172.9416,112.6596,142.568,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/116.jpg
117,https://live.staticflickr.com/65535/50609556637_d167163a0d_t.jpg,./NaturePhotos/117.jpg,118.5424,72.158,107.6308,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/117.jpg
118,https://live.staticflickr.com/65535/50644806567_bc8305742c_t.jpg,./NaturePhotos/118.jpg,120.5504,119.0944,119.478,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/118.jpg
119,https://live.staticflickr.com/65535/50108061331_59a6a596fa_t.jpg,./NaturePhotos/119.jpg,104.9408,107.6428,99.6128,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/119.jpg
121,https://live.staticflickr.com/7148/27094162265_86cd832abb_t.jpg,./NaturePhotos/121.jpg,124.0916,117.6256,124.8504,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/121.jpg
122,https://live.staticflickr.com/65535/51285090108_20f49b299e_t.jpg,./NaturePhotos/122.jpg,122.3244,74.3596,129.9228,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/122.jpg
124,https://live.staticflickr.com/1822/28325565067_a626404399_t.jpg,./NaturePhotos/124.jpg,151.748,140.3292,146.8892,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/124.jpg
125,https://live.staticflickr.com/65535/50743931567_4ba7dd0b40_t.jpg,./NaturePhotos/125.jpg,121.716,56.6724,93.0012,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/125.jpg
126,https://live.staticflickr.com/4791/40629640792_6b662b8e3b_t.jpg,./NaturePhotos/126.jpg,53.2652,18.2672,39.7032,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/126.jpg
128,https://live.staticflickr.com/4878/32011994267_5bb7d02b75_t.jpg,./NaturePhotos/128.jpg,143.842,108.6664,117.5332,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/128.jpg
129,https://live.staticflickr.com/65535/48022229731_ea8a0d6a29_t.jpg,./NaturePhotos/129.jpg,89.3552,64.03,99.1208,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/129.jpg
130,https://live.staticflickr.com/4764/25391027027_a2c3ab95f0_t.jpg,./NaturePhotos/130.jpg,158.6668,145.0804,150.3692,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/130.jpg
131,https://live.staticflickr.com/3755/9768647352_b411efe1e2_t.jpg,./NaturePhotos/131.jpg,122.7504,105.2448,119.4428,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/131.jpg
132,https://live.staticflickr.com/65535/48647171086_1173c0e7e5_t.jpg,./NaturePhotos/132.jpg,165.916,105.826,143.8448,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/132.jpg
133,https://live.staticflickr.com/793/40333633685_54b4fd0f58_t.jpg,./NaturePhotos/133.jpg,49.7192,34.1176,57.1328,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/133.jpg
